PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
PortlandPolice,1453251,jvtran,Jessica Tran,,163,327,0.498470948,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Provided
SFPD,1486611,flypig,Steven Lin | flypig,Technically maintaining...,28137,281,100.1316726,"Beijing, China",Non-Local,0,0,>10,"San Francisco, CA",Not Identified
SLMPD,1522091,freemansullivan,Lover of the People,Dedicated to humbly elevating consciousness with compassion and love. #livestream journo http://ustre.am/NhuD,1114,1314,0.847792998,"Oakland, CA",Non-Local,0,0,<1,"St. Louis, MO",Not Identified
boulderpolice,1533111,rorowe,Robert Rowe III,"Cycling - commuting/cargo/nonprofits, Music - cello/violin/ukulele/bass, Social Media & Community",1723,1994,0.864092277,"Boulder, CO (prev. Philly, PA)",Local,0,0,<1,"Boulder, CO",Other Sectors
oaklandpoliceca,1575581,britrican,mervyn marcano,coms strategist. politico. master class shade specialist. #blacklivesmatter,2037,542,3.758302583,nyc and oakland,Local,0,0,2->10,"Oakland, CA",Not Identified
NYPDnews,1750351,friskygeek,faisal sultan,"digital media product and tech startup geek | photography, food, travel & cycling enthusiast | @friskyradio founder",1739,768,2.264322917,New York City,Local,0,0,>10,New York City,Other Sectors
PortlandPolice,2211301,regnad_kcin,regnad_kcin,live blogging wet paint,415,500,0.83,Portland Oregon,Local,0,0,<1,"Portland, Oregon",Not Identified
SFPD,2212361,docpop,Doctor Popular,"Jack-of-all-trades musician, artist, dramatic yo-yoist, and video game designer-wizard - From @sfbg's Best Of The Bay",7833,120,65.275,"The Mission, San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Other Sectors
SFPD,2248211,dannyskarka,Danny Skarka,"General Manager, Director of Production at MediaOne Studios (@MediaOne_Live) | Undeclared Astronaut. I like Digital Media...and BBQ. #forward",1114,776,1.43556701,Earth....currently,Non-Local,0,0,1->2,"San Francisco, CA",Other Sectors
NYPDnews,2267241,passantino,Jon Passantino,"Deputy news director @BuzzFeed, reporting the weather @BuzzFeedStorm. Made in California. jonp@buzzfeed.com",11227,1713,6.553998832,Los Angeles,Non-Local,0,0,2->10,New York City,Media
NYPDnews,2432811,thenextcorner,Dennis Goedegebuure,"VP Growth & SEO Fanatics, former at Airbnb & eBay. Dutch in San Francisco. Love Photography, Travel and Blogging. Developing Public Speaker. Tweets are my own",8830,1893,4.664553619,San Francisco,Non-Local,0,0,2->10,New York City,Other Sectors
NYPDnews,2488541,bostonherald,Boston Herald,,61173,745,82.1114094,"Boston, MA",Non-Local,0,0,>10,New York City,Not Provided
SFPD,2519421,dahlia,dahlia,i believe that i exist.,1007,50,20.14,right here.,Non-Local,0,0,>10,"San Francisco, CA",Not Identified
SFPD,2617021,kevinmic,Kevin Micalizzi,"@datadotcom, @salesforce. Passionate about life, people, food, social media, mktg, & stuff. **these words are my own.",1771,654,2.70795107,"San Francisco, CA",Local,0,0,2->10,"San Francisco, CA",Not Identified
SFPD,2930371,guelo,Miguel,Members of law enforcement agencies do not have permission to read my timeline. Get a warrant!,440,285,1.543859649,Oakland,Non-Local,0,0,1->2,"San Francisco, CA",Not Identified
NYPDnews,2936331,oolah,Dagny Prieto,"UX, product and design. Innovation @TimeInc. Also math, bicycles, music, wine and NYC. Love things frightfully new or terribly old.",754,245,3.07755102,"Brooklyn, NY",Local,0,0,2->10,New York City,Not Identified
NYPDnews,3439061,mattminerxvx,Matt Miner,"Comic writer, pit bull rescuer, aging punk. Contributor to  @vertigo_comics CMYK, writer of @blackmaskstudio TOE TAG RIOT, CRITICAL HIT. Opinions are mine.",3041,854,3.56088993,Rock Rock Rockaway Beach,Non-Local,0,0,2->10,New York City,Media
SFPD,3470861,dflanegan,Dan Flanegan,"Builder, entrepreneur, investor, advisor, film/tv nut & dad. Co-Founder @Butter_App, @SHEnetics, Soapbox (acquired) & something in the works...",4867,4233,1.149775573,SD + LA + SF = LONGCA,Local,0,0,1->2,"San Francisco, CA",Other Sectors
CLEpolice,3564491,sampathpanini,Sam Panini,Proud geek. Humble wordsmith. Cynical optimist. Aspiring polymath. Loyal supporter of the underdog. Inquisitive about your smart and novel thingamajig.,395,829,0.476477684,NYC,Non-Local,0,0,<1,"Cleveland, OH",Not Identified
SFPD,4034261,roymckenzie,Roy,Arguing with assholes on the Internet is like trying to drown a vampire in your own blood.,1001,573,1.746945899,"San Francisco, CA",Local,0,0,1->2,"San Francisco, CA",Not Identified
PortlandPolice,4209621,maxmartin,Vox Humbug,"I build data systems, collect records, ride bikes, and post pictures of my cat. Probably not the Max Martin you are looking forŒ_í_íñthatŒ_í_ŒÈs @MaxMartin00.",1160,634,1.829652997,"Portland, OR",Local,0,0,1->2,"Portland, Oregon",Not Identified
NYPDnews,4225481,cientifico30,cientifico30,"Old School dude, NYC is my home. My plan is, I will intend to live forever or die trying!",110,57,1.929824561,USA,Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,4466581,inside,Inside,Stay informed on the most important & fascinating events in the world. Just the facts. Just the best. Just for you.,9685,8659,1.118489433,"Culver City, CA",Local,0,0,1->2,New York City,Not Identified
NYPDnews,4934961,jenconnic,Jen Connic,"Journalist at @Storyful. Ex-Patch/NJ.com/WestportNow. Writer, photographer, Foo Fighters lover, Rangers/Mets/Giants/UConn fan. Obviously slightly off her rocker",2082,1135,1.834361233,New York,Local,0,0,1->2,New York City,Media
SFPD,5053801,glyphobet,Matt Chisholm,I am a eight hundred foot tall mutant robot chicken.,308,97,3.175257732,801 foot tall chicken coop.,Non-Local,0,0,2->10,"San Francisco, CA",Not Identified
SLMPD,5145071,velvethammer,ColrMeWhiteGuiltFree,"13th Generation American Free will,truth,freedom of speech-my weapons of choiceŒ_í£Œ¢ 

Contributor at Liberty News: http://www.libertynews.com/author/velvethammer",19660,16327,1.204140381,USA --I..bow..to..no..man.,Local,0,0,1->2,"St. Louis, MO",Media
SFPD,5148411,bstrand,Brant Strand,A catalogue of petty derelictions and frustrated yearnings.,375,1228,0.305374593,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Other Sectors
boulderpolice,5389812,yoavlurie,Yoav Lurie,CEO & Founder @SimpleEnergy -- a @techstars company and @BCorporation. Husband to @skimayeva; father to @ImUnagi. I'm really lucky. I #GiveFirst.,2967,1104,2.6875,"Boulder, CO",Local,0,0,2->10,"Boulder, CO",Other Sectors
NYPDnews,5415352,celestemc,Robin C. McClary,Musical Wordy Photo Taking Classically Black Nerd WSU/NYU/RutgersLaw Opinions mine not the jobs  RTs not always endorsements Detroit will always mean home,1247,1850,0.674054054,We Live in Brooklyn Baby,Non-Local,0,0,<1,New York City,Not Identified
PortlandPolice,5435872,christom,Chris Snethen,"Trappist Sympathizer

SoHo PDX",392,963,0.407061267,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Identified
NYPDnews,5445342,artspeaksloud,MaryAnnParks,,275,370,0.743243243,,Missing,0,0,<1,New York City,Not Provided
SFPD,5471842,netdiva,Œ_í‡ŒæAmy AbascalŒ_í‡Œæ,"Head of #Marketing at BrightFunnel. Awesome cook. Wino. San Franciscophile. Dustfish. Gardener. Pit bull mama. Tweets are 30% industry, 70% random. #B2B #SaaS",1024,487,2.102669405,San Francisco,Local,0,0,2->10,"San Francisco, CA",Other Sectors
NYPDnews,5484532,brianfaughnan,Brian Faughnan,"Communications Director, The LIBRE Initiative. All views expressed are my own.",5126,1063,4.822201317,"Washington, DC",Non-Local,0,0,2->10,New York City,Other Sectors
SFPD,5818162,eparillon,Ed,BGI - POS - NJ - NYC - SFO,760,221,3.438914027,"San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Not Identified
oaklandpoliceca,6066722,jlev,Josh Levinger,"Digital organizing tech + strategy @spacedogXYZ. Previously @engagementlab @civicMIT @medialab. Rocket scientist, roboticist, rabble rouser. Green mountain boy.",837,1268,0.660094637,"Oakland, Calif",Local,0,0,<1,"Oakland, CA",Not Identified
SFPD,6089432,dcdomain,DC,"Build @LoadDOCs. Connect @Formation8VC. Jack of all trades, master of none. I'm a generalist, my interests are broad and I have a passion for all things design.",976,761,1.282522996,San Francisco,Local,0,0,1->2,"San Francisco, CA",Not Identified
NYPDnews,6156612,sillydrunkfish,JíëŒ©ssica Sophia Wong,New Yorker | blogger | travel | lifestyle | dating | fashion | photography | interior design | social media | DDB Blog Ambassador | LUCKY Magazine Contributor,20445,1145,17.8558952,New York City,Local,0,0,>10,New York City,Not Identified
NYPDnews,6211582,nkhensley,Nicole Hensley,"LGBT reporter at @NYDailyNews, @spocats wrangler, Yellowstone caldera Zone 6. #GoCougs Before: @SpokesmanReview nhensley@nydailynews.com PGP: 0xA822BCEBEED8A8DD",3278,2185,1.500228833,"Brooklyn, NYC",Local,0,0,1->2,New York City,Media
SFPD,6221222,bachambers,Ben Chambers,"Software Engineering at Meraki/Cisco (previously: MIT PDOS, VMware). Husband and dad. Tech, bikes as transportation, good eats, learning guitar. Tweets my own.",319,441,0.723356009,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Other Sectors
NYPDnews,6271422,jerrytorrens,Jerry Torrens,Architectural & Interiors Photographer,70,35,2,"Bronx & Manhattan, New York",Local,0,0,>10,New York City,Other Sectors
NYPDnews,6355882,nrafter,Nick Rafter,"Editor in Chief @QueensTrib. Son of Queens. Europolitico. History nut. Go Devils, Giants, Hotspur, AS Roma. RTs mostly not endorsements...mostly",970,1446,0.670816044,"iPhone: 40.682709,-73.836845",Non-Local,0,0,<1,New York City,Media
SFPD,6476742,mollywood,Molly Wood,Host and senior tech correspondent at APM's Marketplace; formerly NYT. Sports and food tweeter. FlíëŒ¢neur. Opinions are to be expected. mwood@marketplace.org,98678,785,125.7044586,"Oakland, CA",Non-Local,0,0,>10,"San Francisco, CA",Media
SFPD,6483142,becca_1k,becca,"Co-founder of Mighty, agency to world's best tech companies...and Bernal dweller since '93.",537,1096,0.489963504,San Francisco,Local,0,0,<1,"San Francisco, CA",Other Sectors
PortlandPolice,6508382,stonethorn,stonethorn,,914,462,1.978354978,"Portland, OR",Local,0,0,1->2,"Portland, Oregon",Not Provided
detroitpolice,6721912,mojodean,Dean Padre Simmer+,"Mr @dorcasgiles, rescue dog daddy, Anglican priest, teacher, #greenapron @starbucks. RTs Œ_í_í_ endorsements, obvs. You cannot be replaced. 1/3 of @dcfcfc #DCTID",1733,824,2.10315534,Detroit,Local,0,0,2->10,"City of Detroit, MI",Not Identified
SFPD,6765892,michelemandell,Michele Mandell,"Positioning and messaging pro. SF's chief restaurant evangelist. Follow me for restaurant industry info, clever witticisms, some kvetching and cat photos.",3992,424,9.41509434,San Francisco,Local,0,0,>10,"San Francisco, CA",Not Identified
SFPD,7054732,dangray,Dan Gray,,89,15,5.933333333,San Francisco,Local,0,0,>10,"San Francisco, CA",Not Provided
SFPD,7081402,bonniegrrl,Bonnie Burton,"Author of Star Wars Craft Book, Girls Against Girls & more! Writes at @CNET @Crave, @Playboy, @SFXmagazine, @Disney! @VaginalFantasy Book Show! Agent @breeogden",64884,2589,25.06141367,"San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Media
SFPD,7169872,bd,Berk D. Demir,celebrity scientist renowned for seminal works on pretzel yield optimization. @twitter acquired my coffee think tank startup.,2917,212,13.75943396,"San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Not Identified
oaklandpoliceca,7178502,kf,Katherine Fellows,"'KF, the lady who learns.' -@lenary",1511,1126,1.341918295,"Oakland, CA",Local,0,0,1->2,"Oakland, CA",Not Identified
NYPDnews,7243782,carminemac,Carmine,"I fit relevant descriptions of people I never heard of. / My clothing, suspicious; my movements, furtive.",262,120,2.183333333,New York,Local,0,0,2->10,New York City,Not Identified
PortlandPolice,7364802,benlat,Ben Latterell,"Sys admin, photographer, global traveller, budding entrepreneur, progressive, cultured. Occasionally makes mistakes. Passionate about twitter and knowledge.",446,296,1.506756757,"Downtown Portland, Oregon",Local,0,0,1->2,"Portland, Oregon",Other Sectors
PortlandPolice,7567072,humanclock,humanclock,"The Human Clock is a very large pile of photos and videos showing you the current time, how neat.",2030,69,29.42028986,"Portland, Oregon, USA",Local,0,0,>10,"Portland, Oregon",Not Identified
CLEpolice,7764332,michaelhayes,Mike Hayes,"Senior Reporter, @BuzzFeedNews. Tips: mike@buzzfeed.com.",21560,1323,16.2962963,"Brooklyn, NY",Non-Local,0,0,>10,"Cleveland, OH",Media
SFPD,7782372,tyrsalvia,Autumn,Discordienne. Labyrinthine. Semidivine. A large bright body moving through space. Art/politics/observations/retweets/etc.,1152,1293,0.890951276,"Oakland, CA",Non-Local,0,0,<1,"San Francisco, CA",Not Identified
NYPDnews,7784732,sevenish,sevenish,Secularist. Humanist. I'm anti-colonial!,2807,2522,1.113005551,New York City,Local,0,0,1->2,New York City,Not Identified
oaklandpoliceca,7837772,greenkozi,greenkozi,"dognerd, blognerd, oaklandnerd, photonerd.",727,467,1.556745182,Oakland ,Local,0,0,1->2,"Oakland, CA",Not Identified
NYPDnews,7865042,mynameisdom,Dominic Mauro,Nerdy lawyer. Civic technologist. FOIA/FOIL and Open Data Rule Everything Around Me.,620,370,1.675675676,"New York City, NY",Local,0,0,1->2,New York City,Not Identified
SFPD,8008072,andnbsp,adam zethraeus,IŒ_í_ŒÈm matter.,127,126,1.007936508,San Francisco,Local,0,0,1->2,"San Francisco, CA",Not Identified
SFPD,8030292,alexgiess,Alexandre Giess,"Corp Dev/Tech Strat @ Orange 



Blending creativity, marketing & tech to delight customers



French flair, German quality & American pragmatism



Tweets my own",593,1843,0.321758003,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Not Identified
sppdPIO,8185152,stormsister,StormSister Spatique,Beauty for Hair - Skin - Nails - Body | Beauty Maven @3waybeauty | Co-founder of @HAMMSevent | http://www.stormsister.biz & http://www.stormsisterspatique.com,1505,525,2.866666667,"Saint Paul, MN",Local,0,0,2->10,"St. Paul, MN",Other Sectors
SFPD,8317872,anthonybrown,anthony brown,"Native San Franciscan. Once a Zookeeper, now a Trader. I tweet about stocks, animals, and other things.",1859,485,3.832989691,San Francisco,Local,0,0,>10,"San Francisco, CA",Not Identified
NYPDnews,8320162,newyorkist,newyorkist,Community member. pedestrian. #givesashit. Should probably update my bio but in the meantime here is an old website: http://paolomastrangelo.com/,15180,350,43.37142857,"manhattan, ny",Local,0,0,>10,New York City,Not Identified
SLMPD,8475532,sdkstl,Staci D Kramer,"Staci D. Kramer writes about media, tech, sports & life in 140-character bursts here, longer at Trust But Verify. She's the former editor of paidContent.",11207,2285,4.904595186,"University City, MO",Non-Local,0,0,>10,"St. Louis, MO",Media
NYPDnews,8533302,leonardwitt,LeonardWitt,"Leonard Witt is executive director of the Center for Sustainable Journalism at Kennesaw State University, outside of Atlanta.",1073,331,3.241691843,"Georgia, USA",Non-Local,0,0,>10,New York City,Other Sectors
NYPDnews,8547752,dougchavez,Doug Chavez,Digital brand marketer at the intersection of media+technology. Culture | Business | Food | Cycling,2813,615,4.57398374,"San Francisco, CA",Non-Local,0,0,>10,New York City,Media
SFPD,8613832,heyrajeev,Rajeev Shaves Live.,mandroidchimp,600,855,0.701754386,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Not Identified
CLEpolice,8666382,rusnivek,rusnivek,Emergency Services,2868,2416,1.187086093,NE Ohio,Non-Local,0,0,1->2,"Cleveland, OH",Not Identified
SLMPD,8668432,lawriter,SEO Web Writer,"SEO Web Writer, SEO Online Marketing Specialist and Wordpress Blogger",315,10,31.5,"Los Angeles, CA",Non-Local,0,0,>10,"St. Louis, MO",Media
CLEpolice,8678412,elisabeth,elisabeth.,habitual line-stepper. devil's advocate.,3906,902,4.33037694,in medias res Œ_í_Œ¢ mile high,Non-Local,0,0,2->10,"Cleveland, OH",Other Sectors
NYPDnews,8795992,923krock,K-Rock NYC,THE Rock of New York.,597,390,1.530769231,NYC,Local,0,0,1->2,New York City,Not Identified
CLEpolice,8804282,atiguy,atiguy,,70,206,0.339805825,milky way galaxy,Non-Local,0,0,<1,"Cleveland, OH",Not Provided
SFPD,8819762,jmsaltzman,Jeff Saltzman,"Engineer, mad scientist, coffee drinker currently at Oculus VR. Former ILMer. Better living through computer graphics.",248,322,0.770186335,San Francisco,Local,0,0,<1,"San Francisco, CA",Other Sectors
SFPD,8937792,bcherry,Ben Cherry,Engineer at @CheckTheApp. Failed a startup. Formerly at Twitter and Slide. Married to the awesome @maggdominguez.,7770,118,65.84745763,"San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Other Sectors
SLMPD,8966062,altrightinfo,Amy,Grandmother Mother Wife Geek Anti-Racism Feminist INFJ Trying to fix myself. AmyStephen at http://gmail.com (402) 994-5805,8616,3616,2.382743363,"221 N 6th Elmwood, NE  68349",Local,0,0,2->10,"St. Louis, MO",Not Identified
SLMPD,9112032,tchop__stl,TC,"Œ_í_íèI wish IŒ_í_ŒÈd a knowed more people. I would of loved Œ_í_í‡em all. If IŒ_í_ŒÈd a knowed more, I would a loved moreŒ_í_Œù

Œ_í_Œ« Toni Morrison, Song of Solomon",3043,1119,2.719392315,,Missing,0,0,2->10,"St. Louis, MO",Not Identified
CLEpolice,9163072,jlsigman,JL Sigman,Caretaker of my disabled mother. Social Justice Summoner. Older than you think.,318,269,1.182156134,"Columbia, SC",Non-Local,0,0,1->2,"Cleveland, OH",Other Sectors
NYPDnews,9229672,fox5ny,MyFoxNY.com,Official Twitter account for Fox 5 News New York/MyFoxNY.com... Tweet us news tips!,70066,225,311.4044444,New York,Local,0,0,>10,New York City,Media
NYPDnews,9245782,gordonmacmillan,Gordon MacMillan,"Editorial @TwitterUK. Founding editor of @BrandRepublic and @TheWallUK. Tweet digital & media, left politics & books.",12140,1531,7.929457871,London,Non-Local,0,0,>10,New York City,Media
NYPDnews,9284512,robbiethompson,Robbie Thompson,"Believing that patience is the greatest gift to be learned in life, I remain peacefully in pursuit of the story behind the story.",760,2001,0.379810095,"Washington, DC",Non-Local,0,0,<1,New York City,Not Identified
PortlandPolice,9317292,nathanc,nathan c bowser,"A Dad, 5season cyclist, creative Project Manager, husband. Turning myself on my own ear.",622,1170,0.531623932,in the middle of awesome!,Non-Local,0,0,<1,"Portland, Oregon",Other Sectors
SFPD,9354602,jamisonsf,Jamison Wieser,"Freelance user experience, transit nerd, and cyclist who lives in San Francisco's Castro District.",409,272,1.503676471,San Francisco,Local,0,0,1->2,"San Francisco, CA",Polictician
SFPD,9422102,mjmontagne,Matt Montagne Œ_ŒÈŒ_,"Enviro-nerd, edtech cyber hippie, fire-aim-ready type",1819,1221,1.48976249,"Burlingame, California USA",Non-Local,0,0,1->2,"San Francisco, CA",Not Identified
NYPDnews,9478442,kblanqua,Koen Blanquart,VP BuzDev @NGDATA_COM | World-traveling photojournalist | Believe in power of ideas&technology | Blog: http://koen.nyc | a RT is a RT,1715,1996,0.859218437,"New York City, NY",Local,0,0,<1,New York City,Not Identified
PortlandPolice,9571152,agent37,agent37,Generally offensive and insensitive,297,309,0.961165049,"Portland, Oregon ",Local,0,0,<1,"Portland, Oregon",Other Sectors
