PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
BPDVT,15313229,shaytotten,Shay Totten,"communications director for Chelsea Green Publishing (@chelseagreen), collector of manual typewriters, Bennington College alum, poetry geek, fence viewer.",6234,4821,1.293092719,"Burlington, VT",Local,0,1,1->2,"Burlington, Vermont",Other Sectors
StocktonPolice,15392053,cbssacramento,CBS Sacramento CBS13,Official Twitter account of CBS13 in Sacramento. Follow us for breaking local and California news and discussion.,45291,5573,8.126861654,"West Sacramento, Calif.",Non-Local,0,1,2->10,"Stockton, CA, USA",Not Identified
sppdPIO,15601504,denisempls,Denise Felder,Career Adviser and Writer | Encouraging individuals and challenging systems to close opportunity gaps | My tweets are my own,2412,1439,1.676164003,"Minneapolis, MN",Non-Local,0,1,1->2,"St. Paul, MN",Media
detroitpolice,15601825,aspenspin,AspenSpin,Aspen Spin : #1 blog in Aspen Colorado. Livin' the Dream since 2003 (blogging since 06). Summer in Detroit. Tweets from Andrew M. Israel,6093,2181,2.793672627,"Aspen, Colorado",Non-Local,0,1,>10,"City of Detroit, MI",Other Sectors
NYPDnews,15923226,cspanwj,Washington Journal,"C-SPAN's morning call-in program. Live every day from 7-10am ET with guests taking your calls, emails and tweets. Join the conversation.",42067,2872,14.64728412,"Washington, DC",Non-Local,0,1,>10,New York City,Media
SFPD,16261627,kcbsnews,KCBS 740 AM/106.9 FM,"The Bay Area's only all news radio station. Local, national and world news 24/7, plus traffic and weather updates every 10 minutes 'on the eights.'",27358,6255,4.373780975,San Francisco Bay Area,Local,0,1,>10,"San Francisco, CA",Media
NYPDnews,16296123,avifink,Avi Fink,"Dep. Dir. of Intergov for Mayor @BilldeBlasio. Mets, Jets, Knicks and Rangers. Democratic Party. Tweets/RT only my opinion.",1574,953,1.651626443,New York,Local,0,1,1->2,New York City,Polictician
boulderpolice,16313592,cbsdenver,CBSDenver,"CBS4 is located in Denver, Colo. at 1044 Lincoln. In Denver, you can watch CBS4 on Channel 4, KCNC-TV.",75170,14909,5.041920987,"Denver, Colorado",Non-Local,0,1,2->10,"Boulder, CO",Media
SFPD,16657699,cbssf,KPIX 5,CBS SF is powered by the Bay AreaŒ_í_ŒÈs KPIX 5 and KCBS All News 740 AM and FM 106.9.,37887,642,59.01401869,San Francisco Bay Area,Local,0,1,>10,"San Francisco, CA",Media
SLMPD,16740234,urbanreviewstl,UrbanReviewSTL.com,"St Louis public policy, planning & politics.  Published by Steve Patterson since 10/31/2004",8891,758,11.72955145,"St. Louis, MO",Local,0,1,>10,"St. Louis, MO",Not Identified
NYPDnews,16760131,wcbs880,wcbs880,The official twitter feed of WCBS Newsradio 880 in New York City.,13380,146,91.64383562,"New York, NY",Local,0,1,>10,New York City,Not Identified
SLMPD,16834491,jonssonville,Greg Jonsson,Likes: My job as a breaking news editor at @stltoday / http://www.stltoday.com; #stlblues hockey; urbanity; #stl; music; nerdy stuff. Dislikes: Character limi,2858,970,2.946391753,"St. Louis, USA, Pale Blue Dot",Local,0,1,2->10,"St. Louis, MO",Media
SLMPD,16874341,mcgrawmilhaven,McGraw Milhaven,http://WWW.KTRS.com http://www.STLTODAY.com/opinion KPLR-TV 6am-10am weekday mornings. ST LOUIS PROUD,6620,329,20.12158055,"St. Louis, Missouri",Local,0,1,>10,"St. Louis, MO",Media
SLMPD,16936858,valeriehahn,Valerie Schremp Hahn,"St. Louis Post-Dispatch nightside public safety reporter. STL native, city dweller, info junkie, school volunteer, repurposer, mom of two. Usually tired.",5203,947,5.494192186,"St. Louis, MO, USA",Local,0,1,2->10,"St. Louis, MO",Media
SFPD,16988803,getgln,Glenn Robinson,Œ_Œù_ Freedom of movement #BLACKLIVESMATTER #LatinosAreHuman RT Favianna's 'Migration is Beautiful' here Œ__íÅŒ´í_Œè https://twitter.com/getgln/status/470109908721860608,10891,11002,0.989910925,Beside you,Non-Local,0,1,<1,"San Francisco, CA",Not Identified
SLMPD,17068692,pdpj,David Carson,"St. Louis Post-Dispatch photog, opinions & ideas are mine, RTs Œ_í_í_ endorsements, I talk a little trash about Boston sports, husband & dad, Pulitzer Prize winner",15447,1030,14.99708738,St. Louis,Local,0,1,>10,"St. Louis, MO",Media
oaklandpoliceca,17090997,rasheed_shabazz,#BlackMuslimsMatter,"Œ_í‡ŒÇ New Afrikan Muslim Œ_í‡ŒÇ Son Brother Uncle Œ_í‡ŒÇ Journalist Photographer Historian Œ_í‡ŒÇ Then @blackhour @onyxexpress, Launching @TheABCMovement Œ_í‡ŒÇ mama approves my tweets",3487,1316,2.649696049,Oakland Œ_í‡ŒÇ Kemet Œ_í‡ŒÇ Califas,Local,0,1,2->10,"Oakland, CA",Media
SpokanePD,17104123,melissakxly4,Melissa Luck #kxly,Executive Producer at @kxly4news. @marquetteu alum. Adopted @wsucougars fan. Lover of #wawine. Rower. Slow triathlete. My hips don't lie.,4825,3490,1.38252149,"Spokane, WA",Local,0,1,1->2,"Spokane, WA",Other Sectors
SLMPD,17162143,pinkdogwood770,pinkdogwood770,"I'm a people person. sometimes sounds harsh but I'm a teacher first, student of life next.",186,417,0.446043165,,Missing,0,1,<1,"St. Louis, MO",Not Identified
ScottsdalePD,17187236,12news,12 News,"Connecting #Arizona: #Breaking news in #Phoenix, #Scottsdale, #Mesa and more. 

Call 602-444-1212 or email connect@12news.com with news and photos.",48409,4882,9.915813191,"Phoenix, AZ",Non-Local,0,1,2->10,"Scottsdale, Arizona",Media
SFPD,17223014,veronicadlcruz,Veronica De La Cruz,TV journo (CBS SF: KPIX & CW) http://t.co/iefO2qJHwJ fighting 4 healthcare rights in memory of my brother #ERIC & following all wearing his banner. Hello SF!,23567,577,40.8440208,San Francisco,Local,0,1,>10,"San Francisco, CA",Not Identified
CLEpolice,17322632,clecitycouncil,CleCityCouncil,"As Cleveland's legislative branch of government, Cleveland City Council strives to serve as the voice of the community & act in the best interests of residents.",11494,2287,5.025797989,"Cleveland, Ohio",Local,0,1,2->10,"Cleveland, OH",Not Identified
NYPDnews,17354377,immortaltech,IG: TechImmortal,General Info: info@viperrecords.com // Bookings: PeterSchwartz@theagencygroup.com //    IG: techimmortal // FB: techimmortal,242564,4636,52.32182916,"Harlem, New York City",Local,0,1,>10,New York City,Not Identified
SLMPD,17448965,riverfronttimes,Riverfront Times,St. Louis' only alternative newspaper covers what others won't. Follow @gutcheckstl for food and @rftmusic for tunes.,50494,3433,14.70841829,"St. Louis, Missouri",Local,0,1,>10,"St. Louis, MO",Not Identified
NYPDnews,17491913,houstonsfirst,HoustonsFirst,"Houston's First Baptist Church: A relevant biblical community | The Loop, Cypress, Downtown, Sienna | Pastor @GreggMatte",2375,173,13.7283237,"Houston, Texas",Non-Local,0,1,>10,New York City,Other Sectors
StocktonPolice,17515263,almendracarpizo,Almendra Carpizo,Reporter at @Recordnet.com | Dog mom at home. I appreciate a good beer. Send story tips to acarpizo@recordnet.com.,1189,478,2.487447699,"Stockton, CA",Local,0,1,2->10,"Stockton, CA, USA",Media
SLMPD,17874169,stackizshort,MockingJay,"...because you sing, Baby. 



Kicking over your sandcastle, cause I can. Don't cry, build better shit. 



TipStackzOff@riseup.net",8660,1862,4.650912997,Wandering ,Non-Local,0,1,2->10,"St. Louis, MO",Not Identified
PortlandPolice,17951583,cyclepdxtours,Cycle PDX,"Portland's Bike Culture shop - providing guided rides, rentals, repair and sales - with Oregon Microbrews on tap! Open daily from 9-6. 1-844-PDX-BIKE",1092,143,7.636363636,"Portland, Oregon",Local,0,1,>10,"Portland, Oregon",Other Sectors
NYPDnews,18109709,nycdailypics,NYC Daily Pics,"Daily pictures of #NewYork, #NY. Tag @nycdailypics in your #NYC photos for RTs",15540,321,48.41121495,"New York, NY",Local,0,1,>10,New York City,Not Identified
SFPD,18132494,sfweekly,SF Weekly,"S.F. news, events, and culture from SF Weekly. No feeds, please.",98927,358,276.3324022,San Francisco,Local,0,1,>10,"San Francisco, CA",Media
NYPDnews,18134929,wmpolice,West Midlands Police,Official West Midlands Police account. Do NOT use Twitter to report crime. Contact us on 999 in an emergency or 101 for non-emergency calls.,184264,735,250.6993197,"West Midlands, England",Non-Local,0,1,>10,New York City,Not Identified
PortlandPolice,18228178,koinnews,KOIN News,Watching Out For You,45273,950,47.65578947,"Portland, Oregon",Local,0,1,>10,"Portland, Oregon",Not Identified
SpokanePD,18251414,urbaninstitute,Urban Institute,Elevating the debate on social and economic policy for nearly five decades. (Links/RTs/favorites/follows/etc. are not endorsements.),73003,2579,28.30670803,"Washington, DC",Non-Local,0,1,>10,"Spokane, WA",Not Identified
SFPD,18273025,appfusions,AppFusions,"Pkg'd pain point integrations & managed hosting 4 Atlassian (JIRA, Confluence...), IBM, Microsoft, Jive, Dropbox, Google, Lingotek, Box, Egnyte, Alfresco...",2201,2096,1.05009542,"USA (SF, DC, CO, NY) - AU - UK",Local,0,1,1->2,"San Francisco, CA",Not Identified
NYPDnews,18483886,pinnyringel,Pinny Ringel,Father. Husband. Neighbor. Involved in City politics. Enjoy campaigning. Opinions expressed are my own & RT are not an endorsement.,3323,729,4.55829904,Brooklyn NY,Local,0,1,>10,New York City,Other Sectors
oaklandpoliceca,18494804,tyska,Tyska,"Photojournalist/videojournalist for The Oakland Tribune/Bay Area News Group. Musician, rodeo champion, sailor, world traveler. There when news breaks.",1489,1779,0.836987071,"Oakland, Calif.",Local,0,1,<1,"Oakland, CA",Media
NYPDnews,18590012,galeabrewer,Gale A. Brewer,Manhattan Borough President,10311,699,14.75107296,"New York, NY",Local,0,1,>10,New York City,Not Identified
SLMPD,18614130,markreardonkmox,Mark Reardon,"KMOX Talk Show Host/Movie Critic, Diet Coke addict, cyclist, music fanatic. I wear headphones for a living.",8458,855,9.892397661,"St. Louis, MO",Local,0,1,2->10,"St. Louis, MO",Other Sectors
NYPDnews,18634578,wmsbg,Williamsburg News,"Williamsburg News and Updates, as it happens. Account managed by @WmsbgHq",4455,137,32.51824818,"Williamsburg, Brooklyn, NYC",Local,0,1,>10,New York City,Media
StocktonPolice,18690498,modestopolice,Modesto Police Dept,The mission of the Modesto Police Department is to drive the crime rate down and improve the quality of life in the city of Modesto. | #insideMPD,16240,348,46.66666667,"Modesto, CA",Non-Local,0,1,>10,"Stockton, CA, USA",Not Identified
CLEpolice,18733287,nicolemarie216,Nicole Stewart,interdimensional kicker of butt,176,310,0.567741935,Ohio,Non-Local,0,1,<1,"Cleveland, OH",Not Identified
PortlandPolice,18818789,opbnews,OPB News,In-depth stories that affect individuals and communities in the Pacific Northwest. Tweets by @LizzyDuffy and @ksfreda.,14554,456,31.91666667,Oregon & SW Washington,Non-Local,0,1,>10,"Portland, Oregon",Not Identified
NYPDnews,18922205,govtechnews,Govtech.com,Official Twitter page of Government Technology magazine. Solving problems in #stategov & #localgov through the smart use of technology.,12833,1015,12.64334975,,Missing,0,1,>10,New York City,Not Identified
NYPDnews,18943141,bostonfire,Boston Fire Dept.,"Official Twitter. Grill safely. Charcoal grills on ground away from house. Propane grills 1st floor only, prefer ground. Never unattended. Never in high winds",85256,60,1420.933333,"Boston, Massachusetts",Non-Local,0,1,>10,New York City,Not Identified
SLMPD,18993263,alexiszotos,Alexis Zotos,"Reporter at @KMOV in my hometown of St. Louis, #Cardinals fan, coffee addict, political junkie, country music lover, @USC Trojan. Opinions are my own.",3990,2173,1.836171192,St. Louis,Local,0,1,1->2,"St. Louis, MO",Media
StocktonPolice,18993395,abc7newsbayarea,ABC7 News,"#1 source for breaking news, weather, sports and more around the Bay Area.",180494,25997,6.942878024,San Francisco Bay Area,Non-Local,0,1,2->10,"Stockton, CA, USA",Media
NYPDnews,18995454,crainsnewyork,Crain's New York,"Crain's New York Business covers NYC's top industries, from Wall St, real estate, tech and retail to health, tourism, politics & arts. RTs are not endorsements.",39736,7180,5.534261838,"New York, NY",Local,0,1,>10,New York City,Not Identified
NYPDnews,19086461,fractenberg,Ben Fractenberg,"I am a reporter/producer for DNAinfo.com covering breaking news, crime and features in New York City. Send your tips/angry missives to bfractenberg@dnainfo.com.",913,422,2.163507109,Brooklyn,Non-Local,0,1,>10,New York City,Media
NYPDnews,19170880,bradlander,Brad Lander,"Deputy Leader for Policy @NYCCouncil. @NYCProgressives co-founder. Park Slope dad. City planning wonk. St. Louis native. Love baseball, public schools, @PB_NYC",11656,1237,9.42279709,"Brooklyn, NY",Local,0,1,2->10,New York City,Other Sectors
SLMPD,19278423,ryandeanksdk,Ryan Dean,Morning reporter/anchor for @ksdknews in #STL. Married to reporter @danadeanksdk. @univMiami grad. Go to bed at 6 p.m. wakeup at 2 a.m. eat dinner at 3 p.m.,5260,832,6.322115385,St. Louis,Local,0,1,2->10,"St. Louis, MO",Media
PortlandPolice,19452490,catchwmw,WA Most Wanted,Washington's Most Wanted: The TV show airing statewide that helps bring fugitives to justice and gives a voice to victims. Hosted by David Rose.,5947,1546,3.846701164,Seattle,Non-Local,0,1,>10,"Portland, Oregon",Not Identified
NYPDnews,19759749,denverpolice,Denver Police Dept. ,"Mission: To operate a police agency with a focus on preventing crime in a respectful manner, demonstrating that everyone matters. *Not monitored 24/7",50798,570,89.11929825,"Denver, Colorado",Non-Local,0,1,>10,New York City,Police
NYPDnews,19915329,redcrossny,NY Red Cross,"Official twitter stream of the American Red Cross Greater NY Region; serving NYC, Long Island, Lower Hudson Valley & Greenwich, Conn.",13393,1731,7.737146158,"520 W 49th St, New York, NY ",Local,0,1,>10,New York City,Not Identified
CLEpolice,19997324,cassienist,Cassie Nist,Senior Assignment Editor at WEWS NewsChannel 5,874,622,1.405144695,"Cleveland, OH",Local,0,1,1->2,"Cleveland, OH",Media
StocktonPolice,20097362,nbcbayarea,NBC Bay Area,"Thank you for stopping by @NBCBayArea - the place to go for exclusive local stories, the latest breaking news, weather updates and more.",80349,2213,36.30772707,San Francisco Bay Area,Non-Local,0,1,>10,"Stockton, CA, USA",Not Identified
SFPD,20682289,bungerkcbs,Stan Bunger,"I co-anchor the KCBS Morning Newswatch. Tweeting from Studio A while on-air (740 AM & FM 106.9) 5:30-10 AM Pacific time weekdays

https://t.co/GpMr6orEqb",3787,708,5.348870056,San Francisco,Local,0,1,2->10,"San Francisco, CA",Media
NYPDnews,20707070,brennancenter,Brennan Center,Non-partisan public policy and law institute that focuses on fundamental issues of democracy and justice. RT's do not equal endorsements.,18394,2715,6.774953959,New York & Washington D.C.,Local,0,1,>10,New York City,Other Sectors
SFPD,21021891,chevron,Chevron,Tweets from the Chevron communications team. Join us on http://Facebook.com/Chevron.,209253,357,586.1428571,"San Ramon, CA ",Local,0,1,>10,"San Francisco, CA",Not Identified
PortlandPolice,21072250,hillarylake,"Hillary Lake, KATU","@KATUNews reporter. From San Diego & Southern OR. Fmrly at @KOBITV & @WBIR. Loves: photography, running & Ducks football. Send tips/ideas to hlake@katu.com",3590,1913,1.87663356,"Portland, OR",Local,0,1,1->2,"Portland, Oregon",Media
SpokanePD,21453415,spokhumanesoc,SpokaneHumaneSociety,Providing Compassionate Care and Placement Since 1897! Adopted is our favorite breed! Follow us for great shelter updates and adoptable pet photos!,3075,397,7.74559194,"Spokane, WA",Local,0,1,2->10,"Spokane, WA",Not Identified
NYPDnews,21534951,adamgoldmanwp,Adam Goldman,Reporter at The Washington Post covering national security and terrorism. Find me on Peerio.Same username. Done w/PGP,10777,837,12.87574671,DC,Non-Local,0,1,>10,New York City,Media
PortlandPolice,22329930,teressa_raiford,Teressa Raiford,"Community organizer, Human Rights Activist.  Program consulting for Philanthropic Art, History and Education development S.T.E.A.M. Curriculum #DSP15",1342,2001,0.670664668,Oregon,Non-Local,0,1,<1,"Portland, Oregon",Other Sectors
SFPD,22330739,benioff,Marc Benioff,Ceo@salesforce.com,157192,1305,120.4536398,Salesforce.com,Non-Local,0,1,>10,"San Francisco, CA",Other Sectors
NYPDnews,22694251,apbweb,American Police Beat,Your Source for Law Enforcement News - Law Enforcement Magazine Publication for Cops,9799,146,67.11643836,USA,Non-Local,0,1,>10,New York City,Other Sectors
NYPDnews,22763447,honolulupolice,Honolulu Police,"Account not monitored constantly, for police service, call 911.",10828,4622,2.342708784,City and County of Honolulu,Local,0,1,>10,New York City,Police
CLEpolice,22903265,joe_schmucc,#BlackLivesMatter,Being a white man is like being a Lakers fan. You get used to winning a lot but everyone else hates you.,2666,425,6.272941176,El Pueblo de Nuestra SeíëŒ±ora ,Local,0,1,2->10,"Cleveland, OH",Not Identified
oaklandpoliceca,22989686,bikeeastbay,Bike East Bay,"Bike East Bay works for safe, convenient and enjoyable bicycling for all people in the East Bay, California (formerly East Bay Bicycle Coalition)",6269,2063,3.038778478,"Oakland, CA",Local,0,1,>10,"Oakland, CA",Not Identified
ScottsdalePD,23008510,officialtaser,@TASER,TASER International - TASERí«ŒÂ CEWs protect lives & AXONí«ŒÂ cameras & EVIDENCEcom protect truth. At Twitter helm is @ArizTri - founding TASER member since 1994.,8029,8827,0.909595559,"Scottsdale, AZ U.S.A.",Local,0,1,<1,"Scottsdale, Arizona",Not Identified
oaklandpoliceca,23078191,mikeynoway,Mike Inouye,"NBC Bay Area traffic guy. Improv comedian. Voiceover actor. Live event host. Bay Area local, born and raised. Views, opinions & spelling errors are mine.",4099,1836,2.232570806,SF Bay Area,Non-Local,0,1,>10,"Oakland, CA",Other Sectors
NYPDnews,23220889,helenrosenthal,Helen Rosenthal,"Councilmember for NYC's Council District 6. Upper West Side Community Leader, Mother, Wife, and Friend.",3552,1034,3.435203095,New York City,Local,0,1,>10,New York City,Polictician
SFPD,23223071,shekeelajones,Shekeela Jones,"Let's Become a Universal Union of United Folks Yearning 4 Ubiquity. 



Part reporter, part spindoctor, spare time doc #producer #KPFA 

#AKA #HalfNigerian @WICRN",2160,2079,1.038961039," Nor. California, Baby!!!",Non-Local,0,1,1->2,"San Francisco, CA",Media
VBPD,23517712,wtkr3,WTKR NewsChannel 3,"WTKR NewsChannel 3. Taking Action, Getting Results.",23646,1041,22.71469741,"Hampton Roads, Virginia",Local,0,1,>10,"Virginia Beach, VA",Not Identified
NYPDnews,23812337,esquizzy,ESQUIRE,You gotta HATE to LOSE more than u LOVE to WIN...,1057,506,2.088932806,Uptown Baby,Non-Local,0,1,>10,New York City,Not Identified
SLMPD,23958097,ksdkstone,Sean J. Stone,"Producer @KSDKNews. Proud Mizzou alum. Self-proclaimed expert on #StLCards & #StLRams. Tweeting breaking news, weather & traffic alerts in the AM.",356,59,6.033898305,"St. Louis, MO",Local,0,1,2->10,"St. Louis, MO",Media
boulderpolice,24058116,aurorapd,Aurora Police Dept,The men & women of the APD are committed to a #SaferAurora. Site not monitored 24/7. In an Emergency Call 911. Non-emergency Call 303-627-3100.,12149,1079,11.25949954,"Aurora, Colorado",Non-Local,0,1,>10,"Boulder, CO",Not Identified
SFPD,24077085,filmfinder,Jon Nash,"FilmFinder 

Our focus is on dreamers, like you.",662,1999,0.331165583,,Missing,0,1,<1,"San Francisco, CA",Not Identified
NYPDnews,24165761,michaelskolnik,Michael Skolnik,"President of GlobalGrind, founded by @UncleRush. Father to the champ, Mateo Ali. Board Member, Trayvon Martin Foundation. Contact: info@mskolnik.com",141968,110,1290.618182,,Missing,0,1,>10,New York City,Other Sectors
NYPDnews,24274605,aidangardiner,Aidan Gardiner,"Breaking news for DNAinfo | Photos, music and other things to make the day a little more interesting | agardiner@dnainfo.com | IG: @aidangardiner",747,811,0.92108508,New York,Local,0,1,<1,New York City,Other Sectors
NYPDnews,24295932,senmartygolden,Senator Marty Golden,"NYS Senator representing Bay Ridge, Dyker Heights, Bensonhurst, Marine Park, Gerritsen Beach, Gravesend, Manhattan Beach, Sheepshead Bay & Midwood",5932,3468,1.710495963,"Brooklyn, New York",Local,0,1,1->2,New York City,Not Identified
NYPDnews,24797876,mayorsalliance,MayorsAllianceNYC,A 501(c)(3) non-profit charity working with over 150 partner pet rescue groups and shelters to transform New York City into a no-kill community.,8101,2227,3.637629097,"New York, NY",Local,0,1,>10,New York City,Not Identified
oaklandpoliceca,25025055,daviddebolt,David DeBolt,"daily newspaperman, night crime news Oakland Tribune / @insidebayarea / civil unrest, 187s, vice / tips to ddebolt at bayareanewsgroup dot com",1876,780,2.405128205,"Oakland, CA",Local,0,1,2->10,"Oakland, CA",Media
PortlandPolice,25081650,dirquez,Dirk VanderHart,"News Editor at the Portland Mercury. Every step tangoed.



dirk@portlandmercury.com",994,491,2.024439919,"Portland, Ore.",Local,0,1,2->10,"Portland, Oregon",Media
SFPD,25150468,hknightsf,Heather Knight,San Francisco Chronicle staff reporter covering the always amusing political scene at City Hall.,1871,346,5.407514451,San Francisco,Local,0,1,>10,"San Francisco, CA",Media
SLMPD,25615035,newsformaggie,Maggie Crane,"Director of Communications for @MayorSlay, City of #STL. Former TV News Reporter. 15-year #cancersurvivor. #Music lover. #Travel junkie. Tweets are my own.",5240,827,6.336154776,"St. Louis, MO",Local,0,1,2->10,"St. Louis, MO",Media
